X	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
US	20.78	19.11	19.31	19.28	19.94	19.72	20.23	19.99	19.06	19.52	18.68	17.61	20.59	18.44	19.10	18.06	17.20	16.15	14.19	14.22	15.28	15.87	14.37	14.45	14.71	13.92	12.51
Germany	12.19	12.93	13.79	12.40	11.52	12.19	12.04	11.14	10.87	9.49	8.78	9.38	9.41	10.10	9.08	9.34	9.69	9.99	10.38	10.43	9.61	10.81	10.15	10.77	11.08	12.85	11.40
Japan	5.14	6.60	7.69	6.64	9.17	9.49	8.98	8.31	8.48	8.48	7.92	8.49	7.60	8.82	6.88	6.08	6.44	7.28	6.28	6.74	6.37	5.50	5.76	6.02	5.37	5.67	4.85
Spaim	4.39	4.97	4.99	4.33	5.66	5.59	6.43	6.60	5.89	5.98	6.79	7.55	6.47	5.96	6.36	6.02	6.04	6.08	5.60	5.08	4.99	4.44	4.42	4.19	3.84	3.39	3.49
Canada	4.01	2.80	3.19	2.70	3.34	3.24	2.70	3.15	2.73	3.68	2.84	2.52	3.38	3.86	3.99	3.88	4.02	3.06	2.60	2.40	2.74	2.85	2.61	2.60	1.71	2.19	2.30
UK	3.79	4.26	4.26	4.37	7.96	6.76	6.93	6.98	7.37	6.00	7.61	6.81	6.08	5.80	6.32	6.33	5.49	5.24	5.31	5.39	4.90	5.05	5.19	5.23	4.03	4.35	4.24
France	3.71	3.41	3.56	3.59	3.87	4.29	5.21	4.98	4.30	4.75	5.15	5.52	4.23	4.68	4.78	4.45	4.64	4.63	4.62	3.97	3.73	3.89	3.75	3.18	3.98	3.93	3.31
India	3.01	3.27	2.31	2.39	3.05	2.76	3.15	3.79	3.96	3.87	4.50	4.43	4.06	4.03	5.15	5.43	5.71	5.62	7.23	7.25	6.96	7.12	6.62	7.41	6.85	6.54	8.87
China	1.84	2.83	2.43	2.55	3.38	3.64	3.70	5.09	5.45	5.90	7.68	8.01	7.99	8.36	8.93	10.63	10.24	11.50	12.44	13.39	14.16	14.22	14.33	15.22	14.05	15.99	18.35
Russia	1.50	1.67	1.46	1.17	1.78	3.16	2.71	3.06	2.67	3.47	3.36	3.43	3.07	3.24	3.34	3.27	3.11	2.98	2.63	3.04	3.36	3.68	4.09	4.22	4.76	4.26	5.19
