	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
UK-US	0.18	0.04	0.11	0.13	0.11	0.23	0.29	0.21	0.27	0.45	0.10	0.20	0.22	0.30	0.16	0.28	0.26	0.16	0.26	0.25	0.20	0.35	0.21	0.23	0.33	0.33	0.62
India-US	0.11	0.15	0.11	0.14	0.19	0.24	0.08	0.30	0.33	0.30	0.33	0.35	0.38	0.36	0.35	0.36	0.34	0.34	0.39	0.68	0.66	0.67	0.74	0.66	0.59	0.48	0.61
Germany-US	0.27	0.08	0.20	0.46	0.26	0.51	0.31	0.14	0.12	0.07	0.04	0.08	0.35	0.28	0.60	0.61	0.74	0.48	0.47	0.57	0.51	0.31	0.54	0.66	0.44	0.62	0.56
China-US	0.02	0.06	0.04	0.08	0.05	0.00	0.09	0.12	0.07	0.12	0.04	0.13	0.69	0.76	1.29	1.02	0.40	0.77	0.62	0.61	0.70	0.96	0.80	0.67	0.69	0.38	0.47
Canada-US	0.13	0.13	0.08	0.01	0.13	0.09	0.08	0.07	0.03	0.16	0.07	0.17	0.20	0.43	0.34	0.33	0.20	0.27	0.30	0.30	0.25	0.35	0.16	0.13	0.34	0.21	0.33
Germany-France	0.20	0.07	0.18	0.22	0.08	0.22	0.40	0.12	0.20	0.13	0.21	0.10	0.12	0.34	0.23	0.19	0.30	0.23	0.26	0.32	0.22	0.27	0.23	0.20	0.23	0.15	0.28
France-US	0.12	0.20	0.11	0.11	0.30	0.17	0.32	0.23	0.07	0.12	0.10	0.11	0.25	0.14	0.33	0.28	0.11	0.15	0.23	0.14	0.15	0.24	0.15	0.13	0.17	0.19	0.23
Germany-Russia	0.09	0.05	0.23	0.07	0.12	0.14	0.50	0.19	0.13	0.19	0.28	0.21	0.17	0.20	0.35	0.20	0.15	0.22	0.19	0.20	0.24	0.19	0.24	0.18	0.17	0.27	0.19
Spain-Italy	0.33	0.23	0.21	0.16	0.12	0.16	0.14	0.33	0.21	0.16	0.17	0.34	0.14	0.16	0.26	0.37	0.37	0.27	0.31	0.32	0.29	0.19	0.22	0.47	0.26	0.16	0.15
Germany-Spain	0.19	0.52	0.18	0.23	0.32	0.47	0.46	0.38	0.51	0.28	0.23	0.08	0.26	0.39	0.41	0.25	0.38	0.36	0.15	0.39	0.24	0.32	0.15	0.19	0.16	0.15	0.12
