	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
China	8.57	11.05	8.65	8.71	8.73	7.53	7.76	13.18	18.25	16.97	18.63	20.81	19.84	24.84	26.25	28.04	32.49	35.88	37.94	41.13	38.79	37.76	36.03	40.37	35.64	38.58	38.23
Russia	3.23	3.08	3.23	3.27	4.78	9.96	4.95	4.96	4.65	6.32	7.92	8.41	5.95	5.92	7.45	7.55	6.30	4.77	4.31	5.41	7.66	6.94	8.71	9.82	7.50	10.50	9.84
US	10.47	10.17	11.99	15.65	13.28	9.39	11.52	9.42	9.21	9.82	11.19	10.12	10.87	10.26	10.88	11.56	8.25	9.33	8.97	7.35	8.61	7.98	7.88	6.98	9.24	6.75	7.88
Germany	11.05	11.65	8.15	8.88	7.76	8.67	8.42	7.01	6.69	6.87	8.46	9.15	6.86	7.76	6.56	5.79	5.00	5.81	4.96	5.53	4.27	6.51	7.00	6.23	5.33	5.39	4.26
India	4.86	4.80	4.87	4.68	4.43	2.73	3.31	3.35	5.95	5.09	4.31	4.86	4.58	5.34	5.83	4.54	4.44	4.57	6.64	5.69	7.01	6.27	6.92	6.12	6.54	7.79	9.80
France	7.03	7.42	7.77	7.14	6.83	7.51	9.41	7.10	5.14	7.05	5.31	4.43	5.71	6.05	5.77	5.20	6.21	5.71	5.35	4.01	3.74	4.23	4.13	4.52	4.54	3.74	4.53
Japan	13.62	12.35	14.91	11.30	13.26	14.53	11.94	15.07	9.36	10.40	12.37	10.10	11.15	8.08	7.25	7.24	5.21	5.24	3.82	3.21	3.50	3.93	4.26	4.28	5.12	3.93	4.10
UK	3.50	3.24	2.68	2.11	5.32	2.81	3.67	4.96	6.96	4.33	3.82	4.37	3.33	3.17	3.42	2.85	3.23	3.36	3.58	3.11	2.60	2.73	3.41	2.46	2.58	2.19	2.31
Spain	1.38	2.17	3.10	1.74	1.36	1.15	2.63	1.43	0.80	1.83	2.67	2.08	1.98	1.53	1.96	2.32	2.55	2.38	1.73	2.10	1.78	1.62	2.11	1.96	1.84	1.58	1.31
Poland	2.92	2.32	2.90	2.32	3.81	3.89	3.10	3.01	3.18	2.05	3.18	3.15	3.77	1.43	1.93	2.37	2.83	1.70	1.93	1.88	2.03	1.20	2.14	1.86	2.36	1.37	1.50
