	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
China-US	0.01	0.01	0.30	0.03	0.38	0.00	0.23	0.55	0.26	0.34	0.29	0.20	1.16	1.22	0.67	1.72	1.31	1.30	1.46	1.09	1.70	0.89	1.27	1.04	1.99	0.63	0.86
China-Japan	0.19	0.29	0.02	0.03	0.13	0.44	0.75	0.30	0.94	0.40	0.49	0.10	0.51	0.52	0.92	0.80	0.49	0.42	0.79	0.22	0.49	0.45	0.12	0.94	1.00	0.60	0.45
France-US	0.36	0.16	0.03	0.01	0.25	0.00	0.08	0.04	0.03	0.09	0.31	0.32	0.06	0.35	0.64	0.09	0.26	0.30	0.83	0.07	0.10	0.63	0.56	0.13	0.46	0.06	0.29
Germany-Russia	0.35	0.17	0.30	0.31	0.37	2.38	0.26	0.58	0.06	0.40	0.25	0.14	0.11	0.33	0.60	0.20	0.24	0.01	0.02	0.09	0.61	0.89	0.34	0.27	0.05	0.60	0.25
Germany-France	0.10	0.11	0.13	0.34	0.16	0.23	0.26	0.07	0.11	0.35	0.12	0.49	0.49	0.25	0.37	0.56	0.45	0.31	0.44	0.29	0.32	0.08	0.29	0.43	0.17	0.33	0.21
France-Russia	0.22	0.18	0.33	0.11	0.02	0.42	0.74	0.15	0.03	0.03	0.14	0.23	0.25	0.18	0.17	0.29	0.08	0.10	0.13	0.47	0.18	0.28	0.14	0.95	0.27	0.18	0.21
Austria-China	0.02	0.07	0.02	0.68	0.57	0.01	0.08	0.54	0.33	0.03	0.13	0.08	0.11	0.32	0.32	0.24	0.14	0.06	0.34	0.17	0.15	0.41	0.27	0.25	0.03	0.34	0.20
Germany-US	0.21	0.65	0.47	0.21	0.12	0.26	0.19	0.09	0.21	0.29	0.13	0.26	0.21	0.44	0.44	0.56	0.32	0.27	0.05	0.40	0.22	0.27	0.36	0.17	0.31	0.25	0.14
Poland-Ukraine	0.24	0.17	0.10	0.30	0.79	0.25	0.13	0.17	0.44	0.45	0.60	0.68	0.35	0.23	0.13	0.04	0.60	0.07	0.31	0.47	0.14	0.11	0.70	0.13	1.09	0.05	0.01
France-Tunisia	0.00	0.00	0.03	0.00	0.39	0.41	0.28	0.12	0.32	0.11	0.26	0.12	0.20	0.16	0.31	0.11	0.17	0.25	0.15	0.24	0.72	0.55	0.35	0.41	0.16	0.10	0.00
