	Reaxys substances	Merged data	Percentage
1996	308716	250466	81.13
1997	315923	257019	81.35
1998	324209	269072	82.99
1999	328921	276650	84.11
2000	336498	310917	92.40
2001	337191	316499	93.86
2002	356519	328787	92.22
2003	375242	349755	93.21
2004	392672	366671	93.38
2005	407744	382066	93.70
2006	417758	391824	93.79
2007	424545	400993	94.45
2008	447229	422221	94.41
2009	482340	458924	95.15
2010	546241	521729	95.51
2011	574354	547994	95.41
2012	574027	559811	97.52
2013	618430	609750	98.60
2014	633468	625724	98.78
2015	627246	619611	98.78
2016	637303	631024	99.01
2017	665233	660168	99.24
2018	674501	668978	99.18
2019	700380	696731	99.48
2020	689565	685019	99.34
2021	719726	713258	99.10
2022	729611	720605	98.77
