	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
China-US	0.02	0.03	0.03	0.03	0.03	0.05	0.04	0.10	0.09	0.13	0.19	0.30	0.49	0.52	0.82	0.64	0.77	0.93	1.05	1.09	1.48	1.60	1.44	1.50	1.61	1.30	1.57
UK-US	0.17	0.16	0.23	0.26	0.12	0.23	0.32	0.29	0.20	0.22	0.23	0.33	0.37	0.39	0.50	0.47	0.44	0.31	0.37	0.41	0.22	0.31	0.33	0.41	0.31	0.31	0.32
Japan-US	0.10	0.20	0.15	0.16	0.12	0.37	0.18	0.29	0.20	0.16	0.33	0.21	0.27	0.45	0.22	0.36	0.21	0.28	0.22	0.22	0.21	0.30	0.22	0.22	0.22	0.21	0.09
India-US	0.05	0.07	0.03	0.07	0.09	0.08	0.12	0.16	0.13	0.11	0.14	0.13	0.14	0.22	0.21	0.31	0.33	0.28	0.33	0.25	0.33	0.34	0.27	0.25	0.39	0.32	0.31
Germany-US	0.13	0.14	0.14	0.19	0.14	0.31	0.14	0.14	0.17	0.16	0.11	0.19	0.17	0.20	0.37	0.35	0.25	0.24	0.24	0.18	0.25	0.26	0.24	0.28	0.26	0.43	0.38
Canada-US	0.11	0.10	0.08	0.26	0.12	0.13	0.07	0.23	0.16	0.14	0.18	0.23	0.21	0.21	0.30	0.32	0.22	0.22	0.30	0.22	0.22	0.20	0.13	0.19	0.24	0.15	0.23
Italy-US	0.10	0.08	0.10	0.05	0.07	0.08	0.10	0.15	0.12	0.14	0.07	0.12	0.12	0.29	0.20	0.17	0.29	0.19	0.15	0.19	0.24	0.14	0.16	0.11	0.17	0.09	0.10
China-Japan	0.05	0.02	0.02	0.03	0.05	0.07	0.08	0.08	0.10	0.09	0.07	0.10	0.13	0.13	0.12	0.16	0.15	0.13	0.18	0.13	0.14	0.13	0.18	0.15	0.25	0.24	0.23
Germany-UK	0.11	0.14	0.05	0.12	0.10	0.10	0.06	0.06	0.06	0.05	0.06	0.08	0.08	0.09	0.10	0.16	0.16	0.11	0.09	0.14	0.20	0.18	0.11	0.13	0.22	0.15	0.08
Germany-France	0.11	0.11	0.11	0.13	0.06	0.14	0.13	0.07	0.07	0.12	0.17	0.09	0.07	0.17	0.17	0.11	0.09	0.11	0.11	0.12	0.10	0.11	0.12	0.14	0.12	0.07	0.12
