	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
H	68.19796230523941	68.37433859208505	69.79412839566331	66.09858672795735	80.18057696542613	81.68444720853466	83.58272162619988	84.44118311131182	84.55410036997526	86.03593410572049	86.86340567028351	87.68854641898234	76.33628007727886	75.9643005546422	78.87840067533864	81.70752581829247	77.89212495932314	82.50688475340066	81.71646232591358	82.47636267751534	84.40980408096902	84.70615411268744	84.3671679197995	86.99882075471697	85.50228310502284	85.08611129970353	86.12283741245943
O	46.273299976667616	44.50513276925703	46.48800097454014	44.92884737639982	55.46012870390761	56.00153088073482	57.112271786184834	57.58184691804019	57.527748144449234	59.144188993482985	58.833566678333916	60.0947370718823	51.84513006654568	52.345937742768875	54.63144161774299	55.90825234409175	54.80800520663847	58.71818409413335	58.727702484398115	57.97641918107508	59.84269571579547	59.93763113823173	60.52005012531328	61.91880053908356	60.6573619367623	59.85470839839772	60.08394133866914
N	41.567936121120994	40.89634488308015	43.7495431843099	40.811286615482416	52.337957865374726	55.355690570731475	56.43233578016187	58.570783472567165	59.28683296638446	60.96804851556843	62.65313265663283	65.67636593831175	56.89752746716624	58.739679499918694	60.47158589463183	63.40744403659255	62.60982753010088	67.25861637319535	67.15867158671587	68.15082683542396	70.20364198032681	70.98500452366744	70.34878863826233	73.07951482479784	72.4153528043422	72.0347613551497	72.93867889997804
P	22.746480698934487	23.771671015093514	23.85186989889146	21.707662966404225	26.949521642320583	25.69966033583696	26.66337285902503	25.40076766764507	25.916426447556574	25.629073135409126	26.35850542527126	25.559363471655278	21.111176160646334	21.600332423985115	21.768159318521928	22.83230947716769	21.4753498210218	23.092714679128765	22.716683388032035	22.509134742155425	23.280627591252745	22.627962039692775	22.43734335839599	22.881570080862534	22.098733522874127	22.642406137551767	21.50508772357922
Cl	16.153786327223706	17.392894589256542	18.723352418077717	16.22084209496797	21.752428491032322	22.48002679041286	23.056653491436098	24.24249266200045	22.31654447647366	22.893283852280955	23.193034651732585	24.391521686931085	20.56671155084597	20.987877364455926	21.056367752580485	21.10348237889652	21.402131467621217	23.019277309521826	23.92232217253048	23.243681018570836	23.7114868709861	23.309399603457237	24.477861319966582	24.829430592991912	24.23752907728095	24.47326136646525	24.640687147702593
S	12.202836180748191	12.308892736095194	12.863929833110003	12.30622524328818	14.678607257334411	14.875855140410469	15.70910973084886	15.400767667645066	16.20854801734117	17.371922519913106	16.859905495274763	16.9347973194211	14.238042269187986	13.987100504055933	15.298722228617475	15.800985184199016	15.721607549625775	16.5501126596011	16.897648239155203	16.534825027310056	16.45597918868385	16.593197174151573	17.24310776942356	18.19617587601078	17.095287326613253	16.661008894018604	17.769210121763745
F	11.16843387861976	10.897076394138159	11.782190278962116	10.995647708934422	13.479654505860186	13.371286418217482	14.330415960850743	14.425378189207496	14.669632521506232	14.491310644460537	14.420721036051804	14.68861190543756	12.073844232382958	12.820003251973766	13.867464794136833	14.4164019855836	14.967051740969737	17.160978052240676	16.54905028312956	17.450182694843107	18.46597837574181	18.94935417428632	18.37719298245614	19.57547169811321	19.27716033428104	19.84520334034897	20.1825236085015
Fe	8.435952609338138	9.399917095413425	8.363990741868681	9.61660716905472	8.967677212557195	11.577285557097067	9.91906644080557	10.44479566493565	10.379735342851307	10.1217414916727	10.34739236961848	11.030101940581956	9.611068828913218	9.33316471247132	9.886420321553278	10.591681089408318	9.286527822974293	11.267629141283484	10.92557008519394	10.739443251591517	10.850743841964068	11.821209262930951	11.530910609857978	11.377611185983827	10.713362626001551	11.258967569647181	11.141748615211927
Ru	7.538952116765612	8.575747970056815	7.979047387014253	7.643405545503447	10.169076806381366	8.37918002200641	8.8085827216262	9.963874463761572	10.243548130830515	10.320872556118754	10.607717885894296	10.910043439348629	9.431532111703062	8.52920453108345	7.670465446452554	8.704996291295004	8.5624796615685	8.727363765334223	9.085653068512253	8.110144272422495	9.243150963336314	7.865406456332172	7.52297410192147	7.974646226415095	7.775480313603859	7.2102654626926475	6.642102437715039
B	7.240816114899022	7.412645387822779	7.918138628334755	6.349943762531176	8.057451858376764	9.304884466344545	8.780350084697911	8.21404380221269	8.541207980570624	8.573950036205648	8.33479173958698	7.858374626181484	6.55699315028394	6.867084605517515	7.0737884194773795	6.881074193118926	7.454035144809633	7.966285571225903	7.301851820361521	7.400082871887595	7.507519713844403	8.055977978401895	7.623224728487886	7.513477088948788	7.577324028603429	8.16303437662661	7.886581586588908
Si	5.501257356181785	5.188851771475946	6.008039956145693	6.012518949581887	5.3267757958354744	5.738410754437162	6.194711086015434	6.098442086249718	5.517851873709058	5.231716147719044	4.869618480924046	5.35460915500644	4.48061198602736	4.272732199960254	5.068876865814819	4.380075695619924	4.047347868532379	4.421263456563465	4.3957352015916475	4.885674464157909	4.676449069181367	4.991433906331209	4.2105263157894735	4.778049191374663	4.61359524424916	5.3839364518976165	5.207291183719284
Pd	4.881652969693827	4.752383506864012	5.028627116579364	4.479436647268815	5.341456849935159	5.810170788881979	6.70995670995671	6.285843305486566	5.411171890959439	6.283942795076032	6.387819390969549	5.891598087795508	5.585153094081143	5.649401094831168	5.126434135297955	6.276269993723731	5.127318581191019	5.779854794291913	5.932967163773021	5.390439597694654	4.94065523128201	5.051107817282334	5.511695906432749	5.487702156334231	5.205910226587404	4.777423224025166	5.048681096117713
Pt	4.30612086174267	4.552437151008266	4.638811061030576	4.05887818475231	5.710930044777215	4.992106396211071	5.980613589309241	5.378189207496049	4.920897927684591	5.618664011585808	5.80154007700385	5.28912269978826	5.003610249204769	5.006232949720872	4.940332297302483	4.71481009528519	5.509681093394078	5.42101310189435	4.642304487561004	4.981730515689155	4.430534102918462	4.084775452847985	4.2710944026733495	4.502190026954178	4.189282329628672	4.428904428904429	4.265391278885337
Co	4.070204547222151	4.2647094681914615	4.292849311731027	3.655435473617292	4.423890968704886	5.071042434100368	5.152456239412761	5.567848272747799	5.025308123567197	4.627534395365677	4.773363668183409	5.18652725327978	4.057139511738188	3.996314429730267	4.468362687540769	4.383879495616121	4.624959323136999	4.523074355336727	4.426343802608533	4.220815911402418	4.814649215510934	5.0934570444089395	5.520050125313284	5.247641509433962	5.780994227621263	6.087763369316768	5.683121446523999
Cu	3.904285380965961	3.7892272804857234	4.18077719576075	4.007530930607853	5.172624727788788	6.4273070851074	6.0064935064935066	6.92481372770377	7.049958008942961	6.428765387400434	6.947847392369619	7.244984828971207	6.291591046581972	6.484074361800148	7.236867349679597	6.765058293234942	6.258135372600066	6.68780772761412	6.881833795296479	6.9235695182129815	6.737257133566377	7.55741207722959	7.510442773600669	8.153638814016173	7.829327130180063	7.389051078371467	8.225763158536884
Ni	3.7279962668187596	3.4332252322547605	3.2695821659154585	3.0343782092033837	4.480168342753677	4.609386212505382	4.773668360624883	5.624294423120343	5.023038336700184	5.292813178855901	4.86305565278264	6.055314225840956	4.529399137443163	4.906867084605517	4.944169448601358	5.310104794689895	4.812072892938497	4.942001168321789	5.225568384716105	5.141823934907899	5.59507357125437	5.8749927813817395	5.9335839598997495	5.980458221024259	5.694839321099336	5.791296082558219	6.168712330104195
Mo	3.3391232209058153	3.2771695398795444	3.2184188086246803	3.0539390679250817	3.357067704127823	3.9109218772425014	3.5526068134763786	3.504177015127569	3.0074675987924735	3.039011585807386	3.5636156807840393	3.320163279561678	2.333977323732022	2.518473017650991	2.231303480296228	1.8334315981665683	2.1070615034168565	2.0412250688475337	1.7038787899399732	2.124533845632275	1.9043167222177058	1.5630714739456004	2.1031746031746033	1.7772911051212938	1.5917118979925906	1.396338289542173	1.3201239598838486
