	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
O	44.94980790680382	43.02774427020506	48.85635864592864	47.880743130492824	58.531627406433095	51.52919369786839	49.924585218702866	57.309706000805484	55.82540955435903	55.45029682960717	65.54995196926032	65.61847296356463	64.78608368594264	67.20180893159977	70.77693701374827	69.3599389379566	72.83236994219652	71.15473441108546	70.78688524590164	74.62054011433077	71.89498806682577	74.53141270392226	73.20218373493977	75.47849156717832	77.33229783516164	77.59983361064891	76.56346749226006
Cu	20.00247862188623	18.04583835946924	12.774473924977128	11.769941039047724	14.372832715532704	9.850390573282139	7.274625826662026	9.746274667740638	8.557681292244244	6.934444865479349	5.95581171950048	6.996983058714319	5.159849553361543	4.330130016958734	4.785249920068209	4.056264311416421	4.400945874934314	2.644341801385681	2.6448087431693987	3.7650305539128723	2.7780429594272076	2.3429364803887536	2.4567018072289155	2.766723517149896	2.300747500242695	2.506239600665557	2.7554179566563466
H	18.168298426075104	18.69722557297949	22.88426349496798	23.195016130826566	31.1610666028937	30.928108036541772	33.89024248752756	37.307021076654586	34.67751174246764	36.95844385499558	42.12295869356388	41.436528196797404	41.56088387400094	40.14697569248163	40.55206224022167	41.91473121796969	48.751970572779825	57.07852193995381	47.857923497267755	48.206189631381825	40.86873508353222	43.07532106907323	45.190135542168676	43.234792495736215	48.32540530045627	42.46048252911814	44.169246646026835
La	16.22258024538357	18.094089264173704	17.200365965233303	19.323617755033933	18.510104029654432	17.873692572487755	16.289592760180994	17.317760773258158	18.8910528124642	17.82240747757989	20.533141210374637	18.217683917382224	15.64409967089798	15.839457320520067	16.188852179473514	16.748446189074258	12.979506043089858	11.062355658198614	11.77049180327869	12.152572442341809	11.47494033412888	13.198542172856648	13.196536144578314	13.066136062156527	15.435394621881372	13.716722129783692	13.374613003095975
Y	14.549510472177468	11.700844390832328	12.465690759377859	10.624096117476917	11.538921439674759	10.803654177148154	11.033762617473025	10.22956101490133	8.855539007904685	10.003789314134142	10.842939481268012	10.489672777906707	11.88293370944993	9.53080836630865	13.236704678674199	11.361901646494385	12.08617971623752	11.120092378752886	10.579234972677595	9.087325054208554	11.083532219570406	9.501909059354391	9.092620481927712	10.157286336933865	10.484418988447723	12.510399334442596	11.692466460268317
N	12.61618540091709	13.16043425814234	16.46843549862763	16.219824229613973	22.754992227669497	20.49516748311929	20.89569555632904	25.761847227815814	25.78760453660213	24.807376531514464	30.043227665706052	30.088187514504526	31.217677480018807	32.357263990955346	33.272940424171374	31.708646821502562	39.831844456121914	47.82909930715935	40.43715846994536	41.24778237729154	35.217183770883054	34.19819507115585	36.85052710843373	36.3653591055524	38.65644112222114	34.671381031613976	33.69453044375645
Fe	11.513198661544182	11.41133896260555	11.779505946935041	7.876293247302259	9.936625612818368	7.24215543492652	7.030978071702054	8.672305007383542	7.8817733990147785	7.932297587470001	9.089817483189242	7.57716407519146	7.0874471086036674	8.795929903900507	9.975487583928382	7.785410533202485	5.373095112979506	4.803695150115474	6.830601092896176	5.5391287206781	5.918854415274463	6.3519611246095105	5.798192771084337	6.935758953951108	6.183865644112222	6.593178036605657	7.223942208462332
Ba	10.571322344776304	9.662243667068758	8.645928636779505	8.777394593391923	9.37462633026426	6.712564543889846	6.520478013690684	6.135051684789905	5.189597892083858	4.926108374384237	4.502881844380403	4.293339521930842	6.1354019746121295	5.618993781797625	6.351913034210807	5.604623269000109	4.335260115606936	3.348729792147806	3.836065573770492	4.7210723437808	6.090692124105012	6.430059007289135	6.955948795180723	7.257911692249384	5.785846034365596	7.705906821963395	6.811145510835913
Sr	10.48457057875821	9.843184559710494	9.03476669716377	8.922015797085328	9.709434413487983	8.989805375347544	5.847546119039332	7.933950865888038	7.079848779928972	7.338638373121132	7.865033621517771	7.646785797168716	6.088387400094029	6.953080836630865	7.161888521794735	6.7604405190273695	5.754072517078297	3.9607390300230945	5.0710382513661205	6.18963138182535	5.909307875894989	6.777160708087469	6.541792168674698	6.026151222285389	6.038248713717115	6.5619800332778695	8.28689370485036
Nd	10.323460156153178	8.371531966224367	8.806038426349497	7.920792079207921	9.422456056439078	7.718787236859526	8.086785009861932	9.262988320579943	8.603505556192005	8.26070481242895	8.88568683957733	7.936876305407287	7.557592853784673	8.117580553985302	6.703612916977512	5.866317740704394	6.27955859169732	4.838337182448036	5.26775956284153	5.568697023457521	5.890214797136038	4.67719541825755	4.847515060240964	6.1114269471290505	5.319871857101252	5.4700499168053245	5.149638802889577
