	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	Unnamed: 43
BaCuOY	0.7931590035940017	0.4463208685162847	0.36596523330283626	0.1223717877405718	0.5619992825541074	0.19859658413875278	0.24364775495997215	0.14767082829910055	0.03436819796082025	0.07578628268283441	0.09606147934678194	0.058018101647714086	0.023507287259050304	0.011305822498586773	0.04263028882020675	0.03271180896303566	0.013137151865475564		0.01092896174863388	0.029568302779420463	0.00954653937947494					0.020798668885191347		
BaCuOPrY	0.44615193952162596	0.3618817852834741	0.16010978956999083		0.20327633624297503	0.013239772275916854	0.011602274045712959	0.06712310377231842			0.012007684918347743	0.011603620329542819	0.011753643629525152	0.10175240248728094		0.010903936321011885										0.020798668885191347		
CHLaNO	0.42136572065931344	0.26537997587454765	0.32021957913998167	0.38936477917454665	0.5261269879229942	0.6090295246921753	0.6613296206056387	0.5906833131964022	0.7217321571772253	0.9094353921940129	1.032660902977906	0.7774425620793688	0.6582040432534085	0.6331260599208592	0.682084621123308	0.5451968160505942	0.814503415659485	0.9930715935334874	0.6775956284153005	0.7490636704119851	0.6873508353221958	0.5206525511975009	0.5082831325301205	0.5400795906765207	0.9028249684496651	0.7799500831946755	0.5263157894736842	
BaCuNdOSr	0.42136572065931344	0.024125452352231604			0.011957431543704412				0.04582426394776034		0.06003842459173872																	
CEuHNO	0.42136572065931344	0.4101326899879373	0.7090576395242452	0.5896095227500278	1.6142532584000957	0.8738249702105124	0.9745910198398886	1.409585179218687	1.053958070798488	1.3515220411772135	1.7891450528338138	1.7521466697609653	1.6337564645039961	1.8202374222724704	1.6945539806032184	1.3084723585214262	2.4697845507094063	2.771362586605081	1.8469945355191257	2.720283855706682	1.8138424821002388	1.7268309614717112	2.0613704819277108	1.9518665908660224	2.349286477041064	1.8614808652246257	1.7027863777089782	
BFeNd	0.40897261122815715	0.10856453558504221	0.24016468435498628	0.0556235398820781	0.15544661006815735	0.14563749503508538	0.3132613992342499	0.16109544905356424	0.137472791843281	0.037893141341417205	0.07204610951008646	0.023207240659085637	0.058768218147625756	0.011305822498586773	0.010657572205051688	0.010903936321011885		0.023094688221709007		0.029568302779420463	0.00954653937947494	0.017355085039916694					0.010319917440660475	
CuLaOSr	0.39657950179700086	0.26537997587454765	0.2516010978956999	0.4004894871509622	0.7294033241659692	0.11915795048325169		0.12082158679017317	0.2520334517126819	0.11367942402425162	0.2281460134486071	0.10443258296588535	0.011753643629525152	0.12436404748445451		0.02180787264202377	0.013137151865475564											
CeCuLaOY	0.3717932829346883																											
LaMnOSr	0.34700706407237575	0.32569360675512665	0.14867337602927722	0.9456001779953276	0.9565945234963531	0.4501522573811731	0.24364775495997215	0.1879446905624916	0.1489288578302211	0.15157256536566882	0.3242074927953891	0.17405430494314228	0.10578279266572638	0.24872809496890902	0.2131514441010338	0.08723149056809508	0.19705727798213346	0.023094688221709007	0.02185792349726776	0.08870490833826139	0.05727923627684964	0.07809788267962514	0.07530120481927711	0.02842524161455372	0.009707795359673818	0.010399334442595673		
BaCaCuLaO	0.34700706407237575	0.6513872135102533	0.057182067703568165	0.2781176994103905		0.09267840593141798	0.0580113702285648	0.2819170358437374			0.10806916426512969						0.013137151865475564											
FeSiTm	0.34700706407237575	0.024125452352231604							0.011456065986940085	0.012631047113805733	0.012007684918347743			0.011305822498586773														
CaLaMnO	0.34700706407237575	0.4101326899879373	0.48032936870997256	0.36711536322171545	0.5859141456415162	0.29127499007017077	0.4408864137370925	0.2819170358437374	0.42387444151678316	0.08841732979664013	0.18011527377521613	0.12763982362497098	0.10578279266572638	0.06783493499152064	0.021315144410103376	0.15265510849416639	0.10509721492380451	0.011547344110854504	0.12021857923497267	0.09856100926473486	0.05727923627684964	0.017355085039916694	0.10353915662650603	0.037900322152738294		0.020798668885191347	0.010319917440660475	
CuLaNdOSr	0.34700706407237575	0.3980699638118214	0.16010978956999083	0.07787295583490933	0.04782972617481765	0.013239772275916854	0.023204548091425917	0.013424620754463686	0.04582426394776034	0.05052418845522293			0.011753643629525152		0.010657572205051688													
CGdHNO	0.33461395464121946	0.32569360675512665	0.5032021957913998	0.3114918233396373	1.016381681214875	0.31775453462200454	0.7425455389256294	0.8591757282856759	0.8362928170466262	1.0231148162182644	1.1887608069164266	1.206776514272453	0.8815232722143864	0.9157716223855284	0.8312906319940317	1.0467778868171411	1.2874408828166053	1.905311778290993	1.4426229508196722	1.4488468361916025	1.2315035799522671	1.0326275598750434	1.2707078313253013	1.6770892552586698	1.4755848946704204	1.2271214642262895	0.8978328173374612	
GaLaMgOSr	0.3222208452100632		0.3888380603842635		0.03587229463111324	0.013239772275916854	0.13922728854855554	0.13424620754463684	0.0687363959216405		0.06003842459173872	0.11603620329542817	0.011753643629525152			0.08723149056809508						0.008677542519958347		0.009475080538184574				
CuFeLaOSr	0.30982773577890693	0.26537997587454765	0.0686184812442818	0.01112470797641562	0.011957431543704412		0.1160227404571296					0.09282896263634255	0.03526093088857546	0.10175240248728094	0.1065757220505169		0.06568575932737783										0.02063983488132095	
BaCdFGaGdInLiNaYbZn	0.29743462634775064																											
CHNOSm	0.28504151691659435	0.08443908323281062	0.40027447392497717	0.2002447435754811	0.5859141456415162	0.31775453462200454	0.17403411068569438	0.51013558866962	0.3780501775690228	0.5178729316660352	0.5643611911623438	0.6498027384543977	0.47014574518100605	0.5879027699265121	0.4902483214323777	0.5451968160505942	0.6437204414083026	0.8545034642032332	0.644808743169399	0.7194953676325645	0.8496420047732698	0.4512322110378341	0.7435993975903614	0.5779799128292591	0.7183768566158625	0.6135607321131448	0.7739938080495357	
LaMnO	0.28504151691659435	0.4101326899879373	0.057182067703568165	0.2447435754811436	0.20327633624297503	0.13239772275916853	0.3364659473256758	0.41616324338837424	0.2978577156604422	0.05052418845522293	0.08405379442843419	0.08122534230679972	0.058768218147625756	0.011305822498586773	0.021315144410103376	0.010903936321011885	0.02627430373095113	0.011547344110854504	0.02185792349726776		0.01909307875894988	0.06942034015966678	0.01882530120481928	0.018950161076369147	0.019415590719347637	0.020798668885191347	0.010319917440660475	
BaCaCuOY	0.28504151691659435	0.22919179734620024	0.14867337602927722	0.611858938702859	0.20327633624297503	0.11915795048325169	0.034806822137138885	0.21479393207141897	0.08019246190858059	0.06315523556902868	0.024015369836695485	0.0696217219772569	0.10578279266572638		0.170521155280827	0.03271180896303566	0.013137151865475564				0.11455847255369928							
BaCuLiOY	0.27264840748543806	0.14475271411338964		0.07787295583490933	0.1913189046992706	0.026479544551833708	0.0580113702285648		0.02291213197388017		0.012007684918347743																	
CHNNdO	0.27264840748543806	0.19300361881785283	0.29734675205855443	0.28924240738680607	0.7413607557096736	0.3707136237256719	0.34806822137138876	0.5638340716874748	0.6071714973078245	0.4168245547555892	0.7084534101825168	0.5569737758180552	0.5876821814762577	0.5992085924250989	0.7247149099435148	0.5124850070875586	0.9327377824487652	0.5889145496535797	0.546448087431694	0.5913660555884093	0.5632458233890214	0.4165220409580007	0.4988704819277108	0.5874549933674436	0.8542859916512959	0.5615640599001664	0.38183694530443757	
CCeHNO	0.27264840748543806	0.07237635705669482	0.34309240622140896	0.46723773500945603	0.32285065168001914	0.18535681186283595	0.40607959159995355	0.34904013961605584	0.263489517699622	0.30314513073133764	0.5283381364073007	0.2784868879090276	0.32910202162670427	0.4861503674392312	0.4369604604071192	0.5451968160505942	0.3152916447714136	0.6581986143187067	0.5355191256830601	0.6997831657796175	0.4200477326968974	0.5032974661575842	0.42356927710843373	0.45480386583285953	0.6115911076594505	0.2807820299500832	0.37151702786377705	
BaCaCuNdO	0.27264840748543806		0.057182067703568165		0.023914863087408825			0.06712310377231842																				
BaCuGdOSr	0.27264840748543806	0.024125452352231604			0.011957431543704412					0.012631047113805733			0.011753643629525152															
CHNOPr	0.2602552980542818	0.14475271411338964	0.14867337602927722	0.2447435754811436	0.3706803778548368	0.22507612869058655	0.301659125188537	0.44301248489730166	0.263489517699622	0.2652519893899204	0.5523535062439962	0.4757484335112555	0.4818993888105313	0.3504804974561899	0.31972716615155067	0.22898266274124962	0.3941145559642669	0.5311778290993071	0.34972677595628415	0.46323674354425387	0.3341288782816229	0.3037139881985422	0.3200301204819277	0.37900322152738297	0.53392874478206	0.3119800332778702	0.2373581011351909	
BaCuOYZn	0.2602552980542818	0.13268998793727382	0.14867337602927722	0.08899766381132496	0.2152337677866794	0.3574738514497551	0.0580113702285648	0.04027386226339106		0.06315523556902868	0.012007684918347743	0.10443258296588535			0.07460300543536183													
CHNOTb	0.24786218862312553	0.21712907117008443	0.3087831655992681	0.2781176994103905	0.5859141456415162	0.27803521779425394	0.42928413969137946	1.0605450396026312	0.813380685072746	0.6062902614626753	0.9125840537944284	1.4040380598746809	1.069581570286789	0.7801017524024872	0.6074816156879462	0.6215243702976775	1.4844981607987389	1.697459584295612	1.377049180327869	1.5474078454563376	1.4988066825775657	1.2669212079139187	1.8354668674698795	1.4023119196513172	1.7571109601009611	1.497504159733777	1.042311661506708	
CeFeGeRu	0.24786218862312553																											
AlDyFePrTb	0.23546907919196924													0.05652911249293386														
CuLaOPbSr	0.23546907919196924	0.03618817852834741		0.01112470797641562	0.011957431543704412	0.10591817820733483																						
CDyHNO	0.23546907919196924	0.08443908323281062	0.217291857273559	0.1779953276226499	0.3826378093985412	0.15887726731100227	0.18563638473140734	0.42958786414283795	0.2864016496735021	0.39156246052797783	0.43227665706051877	0.5453701554885124	0.4466384579219558	0.3843979649519502	0.4689331770222743	0.5997164976556537	0.9590120861797162	1.2586605080831408	0.8087431693989072	1.0151783954267692	1.2219570405727924	1.04998264491496	1.458960843373494	1.4117870001895017	1.4561693039510726	1.4143094841930115	1.1558307533539731	
BaCuNdO	0.23546907919196924	0.31363088057901084	0.3774016468435499	0.10012237178774056	0.20327633624297503	0.15887726731100227	0.011602274045712959	0.10739696603570949		0.012631047113805733			0.023507287259050304	0.011305822498586773						0.009856100926473488	0.00954653937947494		0.00941265060240964					
